(matchnum, 1), (teamnum, 3615), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 1), (startposition, 0), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 14), (teamnum, 3859), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 2), (range, 1), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 15), (teamnum, 3250), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 2), (driverrating, 16), (manueverrating, 4), (defensiverating, 2), (offensiverating, 4), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 16), (teamnum, 100), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 1), (misses, 0), (driverrating, 8), (manueverrating, 16), (defensiverating, 4), (offensiverating, 8), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 17), (teamnum, 114), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 8), (manueverrating, 8), (defensiverating, 8), (offensiverating, 8), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 18), (teamnum, 3257), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 4), (driverrating, 64), (manueverrating, 8), (defensiverating, 16), (offensiverating, 8), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 19), (teamnum, 2073), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 2), (misses, 0), (driverrating, 64), (manueverrating, 16), (defensiverating, 16), (offensiverating, 32), (range, 4), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 1), (penalty, 0), (bridge, 3), (redcard, 0), 
(matchnum, 20), (teamnum, 1159), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 1), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 1), (driverrating, 8), (manueverrating, 8), (defensiverating, 16), (offensiverating, 8), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 21), (teamnum, 4185), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 1), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 4), (manueverrating, 4), (defensiverating, 16), (offensiverating, 8), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 25), (teamnum, 675), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 2), (autoscoretop, 0), (active, 1), (startposition, 2), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 16), (range, 4), (robottype, -1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 26), (teamnum, 1159), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 16), (manueverrating, 4), (defensiverating, 1), (offensiverating, 8), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 2), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 27), (teamnum, 3598), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 3), (driverrating, 2), (manueverrating, 64), (defensiverating, 2), (offensiverating, 4), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 28), (teamnum, 1280), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 1), (startposition, 1), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 29), (teamnum, 2085), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 2), (driverrating, 16), (manueverrating, 4), (defensiverating, 1), (offensiverating, 4), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 30), (teamnum, 3189), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 8), (manueverrating, 8), (defensiverating, 16), (offensiverating, 8), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 31), (teamnum, 1458), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 3), (driverrating, 16), (manueverrating, 16), (defensiverating, 16), (offensiverating, 16), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 32), (teamnum, 2551), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 1), (driverrating, 2), (manueverrating, 2), (defensiverating, 16), (offensiverating, 2), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 1), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 33), (teamnum, 2144), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 8), (manueverrating, 8), (defensiverating, 16), (offensiverating, 16), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 34), (teamnum, 766), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 4), (manueverrating, 4), (defensiverating, 16), (offensiverating, 1), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 35), (teamnum, 581), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 1), (driverrating, 8), (manueverrating, 8), (defensiverating, 16), (offensiverating, 16), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 1), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 36), (teamnum, 3013), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 4), (manueverrating, 4), (defensiverating, 4), (offensiverating, 4), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 37), (teamnum, 3554), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 1), (misses, 0), (driverrating, 8), (manueverrating, 8), (defensiverating, 8), (offensiverating, 8), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 38), (teamnum, 100), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 4), (driverrating, 32), (manueverrating, 8), (defensiverating, 16), (offensiverating, 16), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 1), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 39), (teamnum, 4159), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 1), (autoscoretop, 1), (active, 0), (startposition, 2), (misses, 0), (driverrating, 16), (manueverrating, 16), (defensiverating, 16), (offensiverating, 16), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 40), (teamnum, 1235), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 1), (driverrating, 8), (manueverrating, 8), (defensiverating, 16), (offensiverating, 8), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 41), (teamnum, 1388), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 3), (driverrating, 16), (manueverrating, 16), (defensiverating, 1), (offensiverating, 4), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 42), (teamnum, 751), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 3), (driverrating, 32), (manueverrating, 32), (defensiverating, 1), (offensiverating, 16), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 1), (telescoretop, 1), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 43), (teamnum, 840), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 16), (manueverrating, 16), (defensiverating, 1), (offensiverating, 8), (range, 3), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 44), (teamnum, 1351), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 3), (driverrating, 8), (manueverrating, 8), (defensiverating, 1), (offensiverating, 4), (range, 3), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 45), (teamnum, 604), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 3), (driverrating, 8), (manueverrating, 8), (defensiverating, 1), (offensiverating, 4), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 5), (redcard, 0), 
(matchnum, 46), (teamnum, 2204), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 2), (misses, 1), (driverrating, 8), (manueverrating, 8), (defensiverating, 1), (offensiverating, 4), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 47), (teamnum, 3970), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 2), (misses, 1), (driverrating, 16), (manueverrating, 16), (defensiverating, 1), (offensiverating, 2), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 5), (redcard, 0), 
(matchnum, 48), (teamnum, 1323), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 0), (misses, 2), (driverrating, 16), (manueverrating, 16), (defensiverating, 1), (offensiverating, 8), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 3), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 49), (teamnum, 701), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 2), (driverrating, 64), (manueverrating, 32), (defensiverating, 32), (offensiverating, 64), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 2), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 50), (teamnum, 295), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 1), (driverrating, 4), (manueverrating, 4), (defensiverating, 8), (offensiverating, 16), (range, 3), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 1), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 51), (teamnum, 2085), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 1), (driverrating, 4), (manueverrating, 1), (defensiverating, 2), (offensiverating, 2), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 52), (teamnum, 2156), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 1), (driverrating, 4), (manueverrating, 4), (defensiverating, 2), (offensiverating, 4), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 53), (teamnum, 1159), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 16), (manueverrating, 32), (defensiverating, 4), (offensiverating, 8), (range, 2), (robottype, -1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 54), (teamnum, 3598), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 1), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 4), (manueverrating, 8), (defensiverating, 2), (offensiverating, 2), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 55), (teamnum, 3045), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 2), (manueverrating, 2), (defensiverating, 2), (offensiverating, 2), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 56), (teamnum, 8), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 1), (driverrating, 8), (manueverrating, 8), (defensiverating, 16), (offensiverating, 16), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 2), (telescoretop, 0), (penalty, 0), (bridge, 3), (redcard, 0), 
(matchnum, 57), (teamnum, 3717), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 1), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 58), (teamnum, 2854), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 1), (startposition, 1), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 59), (teamnum, 971), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 1), (misses, 0), (driverrating, 256), (manueverrating, 64), (defensiverating, 128), (offensiverating, 64), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 3), (penalty, 0), (bridge, 5), (redcard, 0), 
(matchnum, 60), (teamnum, 8), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 2), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 4), (driverrating, 32), (manueverrating, 32), (defensiverating, 16), (offensiverating, 32), (range, 1), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 61), (teamnum, 2073), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 3), (driverrating, 64), (manueverrating, 16), (defensiverating, 2), (offensiverating, 64), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 62), (teamnum, 4159), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 0), (misses, 0), (driverrating, 4), (manueverrating, 2), (defensiverating, 1), (offensiverating, 4), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 63), (teamnum, 1159), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 1), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 2), (manueverrating, 2), (defensiverating, 1), (offensiverating, 2), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 2), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 64), (teamnum, 2156), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 1), (manueverrating, 8), (defensiverating, 2), (offensiverating, 4), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 65), (teamnum, 2854), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 8), (manueverrating, 4), (defensiverating, 1), (offensiverating, 1), (range, 2), (robottype, 3), (telescorebot, 0), (telescoremid, 2), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 66), (teamnum, 3859), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 2), (manueverrating, 4), (defensiverating, 8), (offensiverating, 1), (range, 2), (robottype, 3), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 67), (teamnum, 3717), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 4), (manueverrating, 2), (defensiverating, 1), (offensiverating, 2), (range, 2), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 68), (teamnum, 114), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 1), (range, 1), (robottype, 4), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 69), (teamnum, 701), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 1), (misses, 0), (driverrating, 8), (manueverrating, 32), (defensiverating, 1), (offensiverating, 64), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 1), (penalty, 1), (bridge, 5), (redcard, 0), 
(matchnum, 70), (teamnum, 3257), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 2), (driverrating, 2), (manueverrating, 2), (defensiverating, 1), (offensiverating, 4), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 71), (teamnum, 604), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 4), (manueverrating, 1), (defensiverating, 1), (offensiverating, 4), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 73), (teamnum, 3598), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 8), (manueverrating, 64), (defensiverating, 1), (offensiverating, 1), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
