(matchnum, 1), (teamnum, 100), (autoNothing, 1), (uberPlacement, 1), (autoRating, 1), ((null), 1), (startPos, 1), (status, 1), (armRating, 1), (maneuverRating, 1), (grabsTri, 1), (grabsSqr, 1), (grabsCirc, 1), (misses, 1), (groundPickup, 1), (logos, 1), (unknownscores, 1), (scoreslow, 1), (scoresmid, 1), (scorestop, 1), (telepenalties, 1), (positions, 1), (any_penalties, 1), (minibotSpeed, 836), (deploySpeed, 1), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 22), (teamnum, 254), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 23), (teamnum, 1323), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 24), (teamnum, 3256), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 25), (teamnum, 256), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 26), (teamnum, 668), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 27), (teamnum, 766), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 28), (teamnum, 2813), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 29), (teamnum, 253), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 30), (teamnum, 2473), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 31), (teamnum, 1516), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 32), (teamnum, 692), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 33), (teamnum, 971), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 34), (teamnum, 1323), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 35), (teamnum, 3256), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 36), (teamnum, 2551), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 37), (teamnum, 1323), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 38), (teamnum, 2643), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 39), (teamnum, 766), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 40), (teamnum, 604), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 41), (teamnum, 114), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 42), (teamnum, 692), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 43), (teamnum, 581), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 44), (teamnum, 2551), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 45), (teamnum, 1351), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 46), (teamnum, 3013), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 47), (teamnum, 2813), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 48), (teamnum, 2813), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 49), (teamnum, 2813), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 50), (teamnum, 2813), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 51), (teamnum, 2813), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
(matchnum, 52), (teamnum, 2813), (autoNothing, 0), (uberPlacement, 0), (autoRating, 0), ((null), 0), (startPos, 0), (status, 0), (armRating, 0), (maneuverRating, 0), (grabsTri, 0), (grabsSqr, 0), (grabsCirc, 0), (misses, 0), (groundPickup, 0), (logos, 0), (unknownscores, 0), (scoreslow, 0), (scoresmid, 0), (scorestop, 0), (telepenalties, 0), (positions, 0), (any_penalties, 0), (minibotSpeed, 0), (deploySpeed, 0), (miniPlacement, 1), (minibotRating, 1), 
